,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
344,Saginaw Township,39022,82,2,15,14,51,707,70,615,22,2
345,Saline,9431,6,0,1,0,5,62,2,54,6,0
346,Sandusky,2508,7,0,0,0,7,50,10,40,0,0
347,Saugatuck-Douglas,2307,0,0,0,0,0,8,0,7,1,0
348,Sault Ste. Marie,13478,33,0,16,0,17,182,19,155,8,0
349,Schoolcraft,1559,0,0,0,0,0,29,3,23,3,0
350,Scottville,1210,2,0,0,0,2,32,0,32,0,0
351,Sebewaing,1629,2,0,2,0,0,6,1,5,0,0
352,Shelby,2032,10,0,0,0,10,42,5,37,0,0
353,Shelby Township,80806,99,0,33,3,63,475,55,371,49,1
354,Shepherd,1489,3,0,1,0,2,7,0,7,0,0
355,Somerset Township,4541,3,0,1,0,2,12,1,11,0,0
356,Southfield,73335,200,1,33,45,121,1508,358,898,252,3
357,Southgate,28979,74,1,14,15,44,731,57,628,46,2
358,South Haven,4326,24,0,7,1,16,258,14,237,7,0
359,South Lyon,11896,6,0,3,0,3,33,4,29,0,0
360,Sparta,4391,8,0,4,0,4,72,7,64,1,0
361,Spring Arbor Township,8009,1,0,0,0,1,10,2,8,0,0
362,Springfield Township,14554,5,0,2,0,3,38,10,24,4,0
363,Springport Township,2148,3,0,0,0,3,11,4,7,0,0
364,Stanton,1435,1,0,0,0,1,9,4,5,0,0
365,St. Charles,1891,1,0,0,0,1,17,2,15,0,0
366,St. Clair,5286,12,0,5,0,7,65,13,48,4,1
367,St. Clair Shores,59365,107,2,24,10,71,552,80,415,57,0
368,Sterling Heights,133377,167,0,25,17,125,1140,92,952,96,7
369,St. Ignace,2309,5,0,1,0,4,16,1,15,0,1
370,St. Johns,7938,18,0,10,1,7,43,9,31,3,0
371,St. Joseph,8355,17,0,6,2,9,169,8,156,5,1
372,St. Joseph Township,9738,12,0,1,1,10,162,15,139,8,0
373,St. Louis,7104,20,0,9,0,11,59,7,51,1,0
374,Stockbridge,1257,2,0,1,0,1,23,5,17,1,0
375,Sturgis,10779,44,0,17,4,23,310,29,244,37,5
376,Sumpter Township,9407,15,0,0,1,14,54,13,34,7,0
377,Sylvan Lake,1864,2,0,0,0,2,14,1,13,0,0
378,Tawas,4471,8,0,2,0,6,69,3,63,3,0
379,Taylor,60923,378,1,35,41,301,1386,242,998,146,12
380,Tecumseh,8382,15,0,1,1,13,78,14,61,3,1
381,Thetford Township,6689,0,0,0,0,0,0,0,0,0,0
382,Thomas Township,11438,20,0,3,0,17,88,21,61,6,0
383,Three Oaks,1549,3,0,0,1,2,32,6,25,1,0
384,Three Rivers,7643,75,1,16,8,50,352,52,269,31,1
385,Tittabawassee Township,9863,6,0,0,0,6,40,9,28,3,0
386,Traverse City,15772,66,3,15,4,44,231,27,197,7,1
387,Trenton,18147,20,0,7,1,12,135,14,101,20,0
388,Troy,84688,67,2,10,8,47,1042,70,918,54,2
389,Tuscarora Township,2934,6,0,1,0,5,51,4,45,2,0
390,Ubly,785,4,0,4,0,0,8,2,6,0,0
391,Unadilla Township,3425,8,0,1,0,7,13,4,8,1,0
392,Utica,5195,11,0,4,1,6,186,5,176,5,0
393,Van Buren Township,28294,80,1,9,5,65,579,58,456,65,0
394,Vassar,2534,10,0,1,0,9,7,0,7,0,0
395,Vernon,770,0,0,0,0,0,4,0,4,0,0
396,Vicksburg,3490,4,0,0,0,4,58,6,49,3,0
397,Walker,25051,45,0,15,9,21,604,59,518,27,3
398,Walled Lake,7184,10,0,0,1,9,49,4,43,2,0
399,Warren,134653,648,8,89,83,468,2465,569,1540,356,17
400,Waterford Township,73105,135,2,43,10,80,646,122,472,52,9
401,Watervliet,1652,6,0,2,0,4,23,5,17,1,0
402,Wayland,4272,14,0,6,1,7,58,13,43,2,0
403,Wayne,16816,120,0,17,17,86,296,73,174,49,5
404,West Bloomfield Township,66067,40,0,10,6,24,344,42,276,26,1
405,West Branch,2048,0,0,0,0,0,28,2,26,0,1
406,Westland,81444,307,1,80,29,197,1178,164,904,110,8
407,White Cloud,1395,10,0,6,0,4,22,3,18,1,0
408,Whitehall,2785,3,0,1,0,2,46,4,40,2,1
409,White Lake Township,31556,25,0,6,2,17,210,14,188,8,1
410,White Pigeon,1521,2,0,0,0,2,40,5,26,9,0
411,Williamston,3972,7,0,2,0,5,26,6,18,2,0
412,Wixom,14074,24,0,4,4,16,187,22,155,10,0
413,Wolverine Lake,4825,1,0,0,0,1,15,0,15,0,0
414,Woodhaven,12438,13,0,0,4,9,164,8,143,13,0
415,Woodland Township,2115,0,0,0,0,0,0,0,0,0,0
416,Wyandotte,24829,59,1,11,6,41,354,47,279,28,3
417,Wyoming,76295,368,3,61,51,253,1122,125,800,197,9
418,Yale,1875,9,0,0,0,9,22,8,14,0,0
419,Ypsilanti,21178,216,2,26,26,162,736,119,553,64,1
420,Zeeland,5572,11,1,4,0,6,49,15,32,2,0
421,Zilwaukee,1523,0,0,0,0,0,6,3,3,0,0
