,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
158,Haddon Heights,7515,3,0,0,1,2,54,12,39,3,0
159,Haddon Township,14489,33,0,1,19,13,288,26,250,12,0
160,Haledon,8277,31,0,0,4,27,141,25,101,15,0
161,Hamburg,3102,0,0,0,0,0,17,4,13,0,0
162,"Hamilton Township, Atlantic County",25667,49,0,1,21,27,769,91,641,37,2
163,"Hamilton Township, Mercer County",87027,122,1,20,47,54,1585,264,1215,106,5
164,Hammonton,14003,25,0,1,4,20,115,25,78,12,1
165,Hanover Township,14447,12,0,4,1,7,136,7,120,9,0
166,Harding Township,3805,3,0,0,0,3,20,10,9,1,0
167,Hardyston Township,7760,1,0,0,1,0,26,4,22,0,0
168,Harrington Park,4751,0,0,0,0,0,5,0,4,1,0
169,Harrison,18374,47,0,5,14,28,341,49,262,30,0
170,Harrison Township,13125,1,0,0,0,1,57,8,45,4,2
171,Harvey Cedars,339,0,0,0,0,0,7,2,5,0,0
172,Hasbrouck Heights,12049,3,0,0,0,3,63,3,60,0,0
173,Haworth,3420,1,0,0,0,1,8,2,3,3,0
174,Hawthorne,18699,0,0,0,0,0,139,9,116,14,0
175,Hazlet Township,19739,31,0,5,2,24,199,16,171,12,0
176,Helmetta,2173,0,0,0,0,0,10,2,7,1,0
177,High Bridge,3427,1,0,0,0,1,25,3,21,1,0
178,Highland Park,13791,14,0,5,2,7,222,33,181,8,0
179,Highlands,4739,2,0,0,0,2,9,4,5,0,1
180,Hightstown,5264,6,0,3,1,2,22,2,19,1,0
181,Hillsborough Township,39813,13,0,7,1,5,191,29,158,4,0
182,Hillsdale,10382,2,0,0,0,2,45,4,40,1,0
183,Hillside Township,22024,64,0,5,26,33,533,51,398,84,0
184,Hi-Nella,855,2,0,0,0,2,4,0,4,0,0
185,Hoboken,53641,79,0,2,14,63,666,73,562,31,1
186,Ho-Ho-Kus,4091,0,0,0,0,0,20,7,11,2,0
187,Holland Township,5081,2,0,1,0,1,9,4,4,1,0
188,Holmdel Township,16648,17,0,1,1,15,194,16,168,10,0
189,Hopatcong,14091,8,0,0,1,7,39,0,37,2,1
190,Hopewell Borough,1905,0,0,0,0,0,13,2,10,1,0
191,Hopewell Township,17854,7,0,1,0,6,73,14,55,4,0
192,Howell Township,52242,31,1,14,1,15,376,43,321,12,0
193,Independence Township,5420,2,0,1,0,1,5,4,0,1,0
194,Interlaken,789,0,0,0,0,0,3,0,3,0,0
195,Irvington,54034,280,7,17,190,66,1016,178,565,273,7
196,Island Heights,1675,0,0,0,0,0,7,3,4,0,0
197,Jackson Township,57380,25,0,3,5,17,391,71,298,22,3
198,Jamesburg,5931,10,2,1,2,5,19,3,15,1,1
199,Jefferson Township,20877,10,1,2,0,7,72,12,54,6,0
200,Jersey City,266508,1393,13,81,431,868,5074,890,3514,670,18
201,Keansburg,9674,21,0,2,6,13,176,18,157,1,0
202,Kearny,41314,54,0,0,13,41,661,36,541,84,0
203,Kenilworth,8218,10,0,4,2,4,109,8,86,15,0
204,Keyport,7032,12,0,0,4,8,92,10,73,9,0
205,Kinnelon,9984,1,0,1,0,0,22,11,9,2,0
