,state,latitude,longitude,crime_index
Stuttgart,ar,9.1800132,48.7784485,1.1125858656421004
Sulphur Springs,ar,-95.6010143,33.1384886,1.357677902621723
Swifton,ar,-91.1284584,35.821742,1.2393397524071528
Texarkana,ar,-94.07638067493534,33.44628645,1.0930232558139534
Trumann,ar,-90.5073285,35.6736895,1.1255146954422832
Tuckerman,ar,-91.1984601,35.7306327,1.1478156792339915
Van Buren,ar,-91.9689529,40.749202,1.0798319327731092
Vilonia,ar,-92.2079277,35.083975,1.0594288114237715
Waldron,ar,-102.51400163367657,50.85233685,1.1260504201680672
Walnut Ridge,ar,-90.9561004,36.0680241,1.064753935046822
Ward,ar,-103.0781186,31.5007583,1.0918591859185918
Warren,ar,-90.6168408,40.8442828,1.089989350372737
Weiner,ar,-90.8984508,35.6203571,1.2945508100147276
West Fork,ar,-94.18228560879578,35.93095535,1.092440119760479
West Memphis,ar,-90.1845388,35.1464797,1.1472465428361018
White Hall,ar,-86.7119247,32.3270827,1.063621858795373
Wilson,ar,-98.1251465,29.1589961,1.2393162393162394
Wynne,ar,-90.7867798,35.224533,1.1176395289298515
